ball,historical_weight_pct,sim_count,sim_pct,set_A,set_B,set_C,set_D,set_E,set_F,set_G,set_star,set_H,set_I
1,1.3937,10025496,1.4322,False,False,False,False,False,False,False,False,False,False
2,2.0906,14701793,2.1003,False,False,False,False,True,False,False,False,False,False
3,1.7422,12390426,1.7701,False,False,False,False,False,False,False,False,False,False
4,2.0906,14700337,2.1,False,False,False,False,True,False,False,False,False,False
5,2.0906,14705313,2.1008,False,False,False,False,False,False,False,False,True,True
6,2.0906,14692670,2.099,False,False,False,False,False,False,False,False,False,False
7,0.3484,2588209,0.3697,False,True,True,False,False,False,False,False,False,False
8,1.7422,12393542,1.7705,False,False,False,False,False,False,False,False,False,False
9,1.7422,12392598,1.7704,False,False,False,False,False,False,False,False,False,False
10,2.0906,14692623,2.0989,False,False,False,False,False,False,False,False,False,False
11,2.7875,19161670,2.7374,True,False,True,False,False,True,False,True,False,False
12,1.7422,12389177,1.7699,False,False,False,False,False,False,False,False,False,False
13,2.439,16956493,2.4224,False,False,False,False,False,True,False,False,False,False
14,1.3937,10020129,1.4314,False,True,True,False,False,False,False,False,False,False
15,2.439,16956379,2.4223,False,False,False,False,False,False,False,False,True,False
16,2.7875,19156697,2.7367,True,False,False,True,False,False,False,False,False,False
17,1.7422,12390160,1.77,False,False,False,False,False,False,False,False,False,False
18,2.0906,14697954,2.0997,False,False,False,False,False,False,False,False,False,False
19,2.439,16949194,2.4213,False,False,False,False,False,False,False,False,True,True
20,2.0906,14699788,2.1,False,False,False,False,False,False,False,False,False,False
21,1.7422,12382658,1.769,False,False,False,False,False,False,False,False,False,False
22,2.7875,19154159,2.7363,False,False,False,False,True,True,True,True,False,False
23,1.0453,7606620,1.0867,False,True,True,False,False,False,False,False,False,False
24,3.4843,23403794,3.3434,True,False,True,True,True,False,True,True,False,True
25,2.0906,14694498,2.0992,False,False,False,False,False,False,False,False,False,False
26,1.3937,10023977,1.432,False,False,False,False,False,False,False,False,False,False
27,2.439,16958173,2.4226,False,False,False,False,False,False,False,False,True,False
28,1.7422,12386587,1.7695,False,False,False,False,False,False,False,False,False,False
29,1.3937,10030223,1.4329,False,False,False,False,False,False,False,False,False,False
30,2.0906,14696552,2.0995,False,False,False,False,True,False,False,False,False,False
31,2.7875,19161209,2.7373,True,False,False,True,False,True,True,True,False,False
32,2.7875,19153825,2.7363,False,False,False,True,False,False,True,False,False,False
33,1.3937,10026831,1.4324,False,False,False,False,False,False,False,False,False,False
34,3.4843,23399779,3.3428,True,False,True,True,False,True,True,True,False,True
35,3.1359,21304587,3.0435,True,False,True,True,False,True,True,True,False,True
36,2.0906,14705992,2.1009,False,False,False,False,False,False,False,False,True,True
37,2.439,16951774,2.4217,False,False,False,False,True,False,False,False,False,False
38,1.3937,10021703,1.4317,False,True,False,False,False,False,False,False,False,False
39,2.439,16959929,2.4228,False,False,False,False,False,True,False,False,False,False
40,1.3937,10018355,1.4312,False,True,False,False,False,False,False,False,False,False
41,1.3937,10019414,1.4313,False,True,False,False,False,False,False,False,False,False
42,1.0453,7605757,1.0865,False,True,False,False,False,False,False,False,False,False
43,2.439,16954528,2.4221,False,False,False,False,False,False,False,False,True,False
44,1.7422,12384840,1.7693,False,False,False,False,False,False,False,False,False,False
45,2.0906,14704038,2.1006,False,False,False,False,False,False,False,False,True,True
46,1.7422,12385547,1.7694,False,False,False,False,False,False,False,False,False,False
47,2.0906,14698977,2.0999,False,False,False,False,False,False,False,False,False,False
48,1.7422,12383954,1.7691,False,False,False,False,False,False,False,False,False,False
49,2.7875,19161072,2.7373,True,False,False,True,True,False,True,True,False,False
